date,date-unformat,users,events_per_sess,conv_rate
11/5/2021,20211105,474805,5.60,0.33%
11/6/2021,20211106,464654,5.70,0.24%
11/7/2021,20211107,461422,5.61,0.22%
11/8/2021,20211108,441810,5.41,0.19%
11/9/2021,20211109,440127,5.48,0.18%
11/10/2021,20211110,439000,5.64,0.16%
11/11/2021,20211111,510422,5.60,0.16%
11/12/2021,20211112,576465,5.83,0.20%
11/13/2021,20211113,538502,5.76,0.26%
11/14/2021,20211114,483116,5.75,0.19%
11/15/2021,20211115,465402,5.51,0.18%
11/16/2021,20211116,437834,5.47,0.19%
11/17/2021,20211117,414958,5.50,0.22%
11/18/2021,20211118,557110,5.13,0.12%
11/19/2021,20211119,580426,5.42,0.17%
11/20/2021,20211120,547141,5.57,0.16%
11/21/2021,20211121,483998,5.61,0.19%
11/22/2021,20211122,440600,5.45,0.16%
11/23/2021,20211123,543890,5.20,0.12%
11/24/2021,20211124,532059,5.14,0.13%
11/25/2021,20211125,501402,5.19,0.16%
11/26/2021,20211126,494437,5.28,0.21%
11/27/2021,20211127,480922,5.50,0.22%
11/28/2021,20211128,460447,5.45,0.21%
11/29/2021,20211129,414470,5.30,0.19%
11/30/2021,20211130,448335,5.35,0.15%
12/1/2021,20211201,536048,5.07,0.15%
12/2/2021,20211202,541645,5.14,0.12%
12/3/2021,20211203,482156,5.31,0.13%
12/4/2021,20211204,457886,5.50,0.18%